index,timestamp,username,comment,likes,replycount
145,2020-12-23T16:54:19Z,Indian_tomboy,Short and crispy,0,0
146,2020-12-22T12:53:08Z,Fernando Gonza,So much ad,0,0
147,2020-12-15T08:21:49Z,My Mind,*,0,0
148,2020-12-14T14:39:41Z,Andrew Thwin,Messi,0,0
149,2020-12-09T06:24:48Z,SANDIYA,😂,0,0
150,2020-12-08T08:54:49Z,ARGHYA Mukhopadhyay,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m22s"">0:22</a> notice that guy criticising them from behind. That is the average Audience of CarryMinati, not gonna lie.",1,1
150(1),2020-12-22T04:23:47Z,Darshan Potdar,Carry chutiya hai,1,0
151,2020-12-07T19:45:27Z,Kumar Vijender,Recommended after 3yrs,1,0
152,2020-12-07T17:21:22Z,ARI HALAN,"Can u please put some other ad , the ad sucks",0,0
153,2020-12-06T10:15:50Z,Harsha Reddy,Whose here at 2020,1,0
154,2020-12-06T08:01:26Z,I_LoVed_AnImE😍😍🤭🤭,"Welcome <a href=""http://www.youtube.com/results?search_query=%23crispello"">#Crispello</a> in <a href=""http://www.youtube.com/results?search_query=%23zordindian"">#zordindian</a>",2,0
155,2020-12-04T18:27:52Z,Sollunga BiggBoss,"Ramya Pandian bad words unseen video 10 Mani sambavangal!!😂😂🔥🔥🔥🔥<br><br><a href=""https://youtu.be/gIOvVsyMw0s"">https://youtu.be/gIOvVsyMw0s</a>",0,0
156,2020-12-04T18:27:47Z,Sollunga BiggBoss,"Ramya Pandian bad words unseen video 10 Mani sambavangal!!😂😂🔥🔥🔥🔥<br><br><a href=""https://youtu.be/gIOvVsyMw0s"">https://youtu.be/gIOvVsyMw0s</a>",0,0
157,2020-12-04T08:20:46Z,Kunalan Kuna,35 seconds ad for 40 second videos 😂😂,0,0
158,2020-12-03T17:11:32Z,Bhavna Teckchandani,It took 3 years for YouTube to recommend such a great video,0,0
159,2020-12-03T12:25:04Z,Umar,who are still wacthing the old vids like,0,0
160,2020-12-03T12:17:17Z,james fredy,Bye real pot hope you find your day,0,0
161,2020-12-03T10:24:05Z,Naruto Uzumaki,I like how this 40 second video has 30 second ad. 😏,0,0
162,2020-12-03T01:04:14Z,Daily dose of knowledge,Noone- YouTube is recommending me after 3 years,0,0
163,2020-12-02T16:26:18Z,mobile guide,Who watching still in 2020,1,0
164,2020-12-02T11:31:22Z,Dheeraj Pal,Who all are watching this on YouTube ?,1,0
165,2020-12-02T11:08:38Z,Pratap Reddy,Imagine how many takes did they take for it,0,0
166,2020-12-02T09:32:31Z,sarath babu,"anyone here at the end of 2020?  well, 2021&#39;s gonna be good (^_-)",0,0
167,2020-12-02T06:52:12Z,Diablo 69,Yakhi bottle flip yala,1,0
168,2020-12-02T06:07:22Z,Basil Syed,Crispello ads are annoying,0,0
169,2020-12-01T13:51:31Z,headshot gaming,"Look at the cow get scared in the background oat <a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=2m08s"">2:08</a>",2,3
169(1),2020-12-10T17:12:00Z,mobile guide,Correct 😂😂😂👍,1,0
169(2),2020-12-10T15:59:53Z,Alphagonist,It's at 06:30:03,1,0
169(3),2020-12-02T16:25:19Z,mobile guide,No it's in 1:50:32,1,0
170,2020-12-01T08:58:35Z,The Ace,This what salman khan from tere naam is doing nowadays,0,0
171,2020-12-01T07:36:23Z,asalttu gaming,bro that i also did but i got at this moment he knew he      up,0,0
172,2020-11-30T16:43:39Z,Sandeep Sooch,People who r seeing it on 2020 are legends,1,0
173,2020-11-30T16:00:48Z,Rohit. Cheruvathoor,2020 vibe check,0,0
174,2020-11-30T13:35:24Z,Dope_gamers,Anyone in 2020,0,0
175,2020-11-30T13:32:25Z,Rajesh Pathania,the poor baby cow got scared of Vineeth&#39;s largeness and Naser&#39;s hairstyle,0,0
176,2020-11-30T08:44:14Z,Kapish R,😂,0,0
177,2020-11-28T15:32:37Z,I_LoVed_AnImE😍😍🤭🤭,Rise your hand if ur irritated of crispello adds in jordindian 😂🙋🙋,239,4
177(1),2021-08-06T04:46:36Z,Ayko,✋✋✋✋✋✋✋✋✋🤚🤚🤚🤚🤚🤚🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐🖐✋🤚💪✋✋🤚🖐🖐🖖✋🤚🖐🖐✋🖐🤚🖐✋,0,0
177(2),2021-01-25T02:58:14Z,Dark Crusader,🤚🤚🤚,1,0
177(3),2021-01-22T13:37:52Z,Warlord King,✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋✋,2,0
177(4),2021-01-02T16:54:17Z,Arun Kumar Devan,me,2,0
178,2020-11-26T15:47:24Z,Ragland Daniel,I thought it was a GIF,0,0
179,2020-11-26T14:30:30Z,Good shepherd School,AAAHHHH!!!!!!!Crispello Add......!!!,0,0
180,2020-11-26T07:15:27Z,Manohar Shetty,LOL,0,0
181,2020-11-25T08:47:57Z,Aniket Gurav,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m27s"">0:27</a> poor calf",0,0
182,2020-11-24T19:51:55Z,this is what you get,That poor cow,1,0
183,2020-11-23T14:37:51Z,Jeelani shaik,At the first pot flip : omg i thought they&#39;d break it thank god they didn&#39;t. <br>At the second pot flip : oh well,0,0
184,2020-11-22T20:33:28Z,Satish nair,The way naser shakes his head 🤣🤣🤣🤣🤣,0,0
185,2020-11-19T03:39:24Z,Aanya .r.,😂😂😂,0,0
186,2020-11-19T03:38:37Z,Dhruv kumar Yadav,"You guys are really awesome,<br>The thing I like the most is your facial expressions after an act😀😀😀👍👍👍👍👍❤️❤️",0,0
187,2020-11-11T16:05:07Z,Aaryan .S.,0.22 vs 0.26 🤣🤣,0,0
188,2020-11-11T10:45:26Z,Lil Boozi,20 second video for a 40 second video😶,0,0
189,2020-11-09T09:09:54Z,Bhavya Gopal,2020,0,0
190,2020-11-07T09:49:43Z,Sree Cooks,😉😉😉,0,0
191,2020-11-05T10:15:22Z,Shubham P.,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m21s"">0:21</a> did anyone noticed the guy behind the buffalo is abusing these guys",0,0
192,2020-11-04T15:57:41Z,Aphong Aphong phom,Stop adding ads,0,0
193,2020-11-04T08:01:10Z,SHRAVAN E RAJEEV,"<a href=""https://www.youtube.com/watch?v=7Mj8KEta4T8&amp;t=0m28s"">0:28</a> see the cow 🐄 running 😂😂😂",1,0
194,2020-11-04T04:57:24Z,Millintines Official,"<a href=""https://youtu.be/QWUnYO-WCaU"">https://youtu.be/QWUnYO-WCaU</a>",0,0
